id,center_x,center_y,width,height,crop_path
0,1311,942,60,55,squares_output_pnid8\pnid_cropped_upscaled\crops\square_0.png
1,1136,905,173,186,squares_output_pnid8\pnid_cropped_upscaled\crops\square_1.png
2,964,863,370,203,squares_output_pnid8\pnid_cropped_upscaled\crops\square_2.png
3,1152,812,112,110,squares_output_pnid8\pnid_cropped_upscaled\crops\square_3.png
4,674,763,104,102,squares_output_pnid8\pnid_cropped_upscaled\crops\square_4.png
5,563,690,111,156,squares_output_pnid8\pnid_cropped_upscaled\crops\square_5.png
6,787,664,107,98,squares_output_pnid8\pnid_cropped_upscaled\crops\square_6.png
7,1207,595,143,112,squares_output_pnid8\pnid_cropped_upscaled\crops\square_7.png
8,1364,595,119,108,squares_output_pnid8\pnid_cropped_upscaled\crops\square_8.png
9,668,587,113,112,squares_output_pnid8\pnid_cropped_upscaled\crops\square_9.png
10,560,584,92,102,squares_output_pnid8\pnid_cropped_upscaled\crops\square_10.png
11,1017,495,192,128,squares_output_pnid8\pnid_cropped_upscaled\crops\square_11.png
12,906,495,176,122,squares_output_pnid8\pnid_cropped_upscaled\crops\square_12.png
13,561,493,132,101,squares_output_pnid8\pnid_cropped_upscaled\crops\square_13.png
14,890,333,107,108,squares_output_pnid8\pnid_cropped_upscaled\crops\square_14.png
15,676,286,96,122,squares_output_pnid8\pnid_cropped_upscaled\crops\square_15.png
16,526,190,61,55,squares_output_pnid8\pnid_cropped_upscaled\crops\square_16.png
17,387,136,141,111,squares_output_pnid8\pnid_cropped_upscaled\crops\square_17.png
18,722,75,109,123,squares_output_pnid8\pnid_cropped_upscaled\crops\square_18.png
